"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"DIC 2001",3.50,3.30,4.90,3.10,8.50,-0.40,9.00,2.20,10.40,3.50,1.50
"MAR 2002",1.40,4.30,3.10,0.00,7.50,-1.60,11.20,-2.30,5.80,1.30,3.70
"JUN 2002",3.00,3.60,5.50,2.10,4.60,0.80,16.40,-0.10,8.10,2.90,5.20
"SEP 2002",3.40,3.90,4.70,2.90,7.20,2.20,17.30,0.30,6.40,3.40,4.00
"DIC 2002",4.30,5.40,4.80,3.70,7.80,1.70,17.50,1.60,6.00,4.20,1.50
"MAR 2003",1.70,3.50,4.70,0.40,6.40,-1.70,17.00,-2.10,4.70,1.60,2.10
"JUN 2003",3.30,3.10,5.50,2.80,5.70,1.60,21.80,0.30,7.60,3.20,4.70
"SEP 2003",3.60,4.10,5.10,3.00,8.00,2.70,21.60,0.00,7.20,3.60,4.90
"DIC 2003",4.00,4.10,4.90,3.40,6.60,1.90,22.30,0.90,12.80,3.90,3.00
"MAR 2004",2.40,4.60,3.80,1.20,7.10,-0.20,20.30,-1.90,6.00,2.20,4.60
